gamma,angle_rew_weight,final_mean_return
0.03167964452409658,6.96969696969697,"[993.8984375, 995.96875, 958.71875, 974.703125, 948.046875, 879.375, 961.703125, 965.1953125, 895.9765625, 999.140625]"
0.005850838068754207,7.373737373737374,"[812.40625, 450.8046875, 614.421875, 883.3984375, 994.1796875, 801.2265625, 982.203125, 970.765625, 383.15625, 833.203125]"
0.043068054015145296,8.686868686868687,"[998.6328125, 1000.0, 999.6953125, 954.7421875, 918.8671875, 936.9296875, 924.21875, 984.28125, 954.6484375, 939.078125]"
0.012608268587175545,6.8686868686868685,"[963.71875, 1000.0, 911.4140625, 887.3515625, 895.0234375, 840.0625, 838.2421875, 896.859375, 869.1875, 960.609375]"
0.0017128458556540079,2.929292929292929,"[263.84375, 222.40625, 291.5078125, 342.0390625, 338.0390625, 493.5234375, 286.3828125, 350.4609375, 291.03125, 276.125]"
0.15885422995710774,4.94949494949495,"[995.2890625, 1000.0, 996.296875, 998.3359375, 916.8671875, 956.421875, 962.2734375, 989.3125, 997.109375, 992.4609375]"
0.0005846634683724685,7.070707070707071,"[574.796875, 965.40625, 640.328125, 871.359375, 920.546875, 831.59375, 958.6796875, 993.8359375, 325.625, 927.6875]"
0.004303711287280452,3.7373737373737375,"[301.828125, 271.921875, 270.203125, 355.9765625, 809.359375, 581.375, 382.328125, 378.796875, 285.421875, 324.7734375]"
0.0199856315113147,8.080808080808081,"[996.7578125, 996.3828125, 873.578125, 987.6875, 918.6484375, 936.2890625, 982.3203125, 985.078125, 997.9765625, 931.859375]"
0.005418440904522979,2.8282828282828283,"[303.4375, 246.5625, 251.8203125, 302.125, 349.484375, 422.21875, 301.1171875, 300.328125, 260.2734375, 286.875]"
0.006317740971984859,7.474747474747475,"[679.53125, 487.7109375, 835.5625, 750.6953125, 994.28125, 896.71875, 697.171875, 978.21875, 834.703125, 587.484375]"
0.006821903207721965,4.848484848484849,"[441.6484375, 407.875, 336.5859375, 690.0546875, 829.3046875, 723.046875, 434.65625, 383.8828125, 340.640625, 581.4765625]"
0.0013604640471757009,1.3131313131313131,"[246.25, 259.234375, 226.5546875, 246.203125, 269.7265625, 325.625, 249.1796875, 246.0703125, 253.125, 293.1953125]"
0.18521930844265186,7.373737373737374,"[998.1328125, 1000.0, 1000.0, 996.1171875, 940.9453125, 950.7109375, 942.6640625, 1000.0, 999.8671875, 965.125]"
0.00023269181687763618,9.09090909090909,"[951.75, 868.2734375, 917.5859375, 977.25, 982.984375, 989.234375, 917.0390625, 1000.0, 998.5, 956.109375]"
0.0005846634683724685,8.787878787878787,"[908.9609375, 884.640625, 918.46875, 1000.0, 989.3984375, 970.078125, 907.4453125, 994.484375, 976.96875, 955.453125]"
