gamma,velocity_rew_weight,final_mean_return
0.06322283054611633,7.373737373737374,"[927.15625, 913.6328125, 937.203125, 890.796875, 954.6796875, 903.0078125, 952.984375, 899.3203125, 916.7734375, 957.84375]"
0.011676473941879328,4.848484848484849,"[1000.0, 997.125, 999.953125, 1000.0, 972.5703125, 1000.0, 994.328125, 993.9765625, 919.7265625, 1000.0]"
0.03167964452409658,0.7070707070707071,"[617.65625, 627.828125, 602.1484375, 468.125, 552.8984375, 623.234375, 427.8984375, 523.453125, 406.0390625, 501.0859375]"
0.1082131644095978,5.757575757575758,"[944.5546875, 950.1171875, 970.453125, 967.15625, 957.1796875, 968.25, 921.9453125, 959.75, 940.4765625, 953.5703125]"
0.001080577342992131,6.8686868686868685,"[415.890625, 396.484375, 370.4375, 360.953125, 440.984375, 414.9765625, 418.171875, 435.8671875, 387.25, 375.515625]"
0.0009267623509309258,4.343434343434343,"[364.09375, 300.859375, 323.7578125, 309.703125, 318.7734375, 346.96875, 347.8984375, 321.2109375, 328.828125, 316.0703125]"
0.03167964452409658,6.96969696969697,"[1000.0, 1000.0, 1000.0, 998.6640625, 981.3046875, 994.078125, 994.15625, 1000.0, 1000.0, 995.2578125]"
0.005850838068754207,7.373737373737374,"[1000.0, 1000.0, 1000.0, 994.1328125, 943.9453125, 999.1484375, 922.640625, 998.125, 1000.0, 1000.0]"
0.043068054015145296,8.686868686868687,"[978.078125, 993.6875, 983.9765625, 985.8125, 995.1875, 998.078125, 996.0859375, 992.453125, 994.4453125, 987.9375]"
0.012608268587175545,6.8686868686868685,"[995.1953125, 1000.0, 1000.0, 993.9375, 991.1328125, 1000.0, 971.078125, 1000.0, 995.546875, 994.1640625]"
0.0017128458556540079,2.929292929292929,"[349.84375, 291.4296875, 277.71875, 255.0625, 265.9296875, 300.5234375, 308.484375, 281.734375, 289.59375, 306.859375]"
0.15885422995710774,4.94949494949495,"[949.3125, 978.171875, 967.84375, 955.8515625, 973.09375, 949.578125, 980.9765625, 977.6953125, 969.7734375, 968.6875]"
0.0005846634683724685,7.070707070707071,"[423.234375, 423.2734375, 373.3359375, 373.0859375, 348.40625, 399.6484375, 439.734375, 382.8671875, 351.9765625, 370.3984375]"
0.004303711287280452,3.7373737373737375,"[290.7890625, 333.734375, 357.15625, 351.0390625, 365.9375, 277.0390625, 313.03125, 352.6875, 326.3203125, 377.296875]"
0.0199856315113147,8.080808080808081,"[1000.0, 1000.0, 1000.0, 993.6015625, 984.375, 992.109375, 990.6953125, 996.0859375, 996.125, 1000.0]"
0.005418440904522979,2.8282828282828283,"[314.890625, 325.2109375, 299.03125, 330.6171875, 326.5625, 327.84375, 351.8828125, 284.1953125, 323.9296875, 341.640625]"
0.006317740971984859,7.474747474747475,"[1000.0, 1000.0, 1000.0, 1000.0, 784.921875, 1000.0, 863.9765625, 1000.0, 1000.0, 1000.0]"
0.0013604640471757009,1.3131313131313131,"[279.4609375, 286.9375, 276.1953125, 245.9765625, 242.890625, 307.125, 258.8515625, 220.8515625, 259.7890625, 292.1328125]"
0.006821903207721965,4.848484848484849,"[994.96875, 942.8359375, 940.015625, 999.546875, 869.8828125, 989.8203125, 908.7109375, 825.0234375, 830.6796875, 995.265625]"
0.18521930844265186,7.373737373737374,"[967.2265625, 994.3125, 969.46875, 953.5078125, 960.140625, 988.7578125, 968.359375, 969.9140625, 949.671875, 951.8046875]"
0.0005846634683724685,8.787878787878787,"[424.453125, 393.96875, 503.375, 436.2890625, 467.2421875, 438.2421875, 379.0, 379.484375, 410.515625, 355.640625]"
0.00023269181687763618,9.09090909090909,"[551.703125, 477.1875, 464.078125, 443.390625, 369.5234375, 440.90625, 432.3203125, 397.6484375, 512.15625, 507.1328125]"
0.0011668085277693407,8.98989898989899,"[508.3984375, 370.1796875, 399.3125, 440.359375, 373.046875, 400.9140625, 383.671875, 347.796875, 433.71875, 522.3359375]"
0.0199856315113147,9.797979797979798,"[996.4375, 1000.0, 1000.0, 1000.0, 977.7578125, 1000.0, 984.6875, 1000.0, 1000.0, 1000.0]"
0.015874010519682,7.979797979797979,"[1000.0, 1000.0, 1000.0, 1000.0, 966.8515625, 1000.0, 995.609375, 1000.0, 992.8828125, 1000.0]"
0.0015862606242654862,5.353535353535354,"[353.796875, 356.1796875, 304.0859375, 319.34375, 318.046875, 345.453125, 397.625, 309.1796875, 355.0546875, 418.25]"
0.0006313202152501221,2.323232323232323,"[259.015625, 273.796875, 250.015625, 266.0390625, 281.0703125, 250.9375, 280.2109375, 274.1953125, 260.25, 289.265625]"
0.0011668085277693407,1.8181818181818181,"[259.359375, 281.84375, 265.2265625, 278.9921875, 246.8359375, 267.0078125, 289.046875, 275.59375, 259.0390625, 328.1328125]"
0.0005014394332495677,1.3131313131313131,"[252.9140625, 217.9609375, 254.296875, 235.859375, 226.3828125, 247.515625, 236.265625, 245.015625, 214.8359375, 287.65625]"
0.0025144150521764766,4.444444444444445,"[390.734375, 365.953125, 351.8203125, 379.421875, 292.9609375, 437.0859375, 281.7109375, 318.3671875, 334.8984375, 370.1484375]"
0.0006817002185769346,3.131313131313131,"[302.21875, 278.296875, 316.5078125, 304.546875, 285.34375, 279.828125, 298.03125, 323.3046875, 331.5078125, 294.9609375]"
0.003165688509340163,8.282828282828282,"[706.359375, 454.96875, 530.8828125, 520.8984375, 451.46875, 605.0234375, 649.78125, 434.7109375, 440.3984375, 728.4375]"
0.002156500152519066,2.6262626262626263,"[274.2890625, 280.9921875, 280.6796875, 277.8203125, 260.140625, 304.8984375, 327.3828125, 265.7734375, 281.1953125, 332.4765625]"
0.0001848203969370861,3.0303030303030303,"[337.625, 487.71875, 410.4765625, 546.1796875, 418.609375, 578.09375, 605.859375, 320.7265625, 647.5703125, 551.453125]"
0.0002512608634965109,1.3131313131313131,"[232.2265625, 698.7109375, 409.484375, 285.5859375, 240.4921875, 231.625, 726.515625, 247.609375, 651.0, 286.9375]"
0.018508624236576895,9.595959595959595,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 997.265625, 945.5234375, 1000.0, 1000.0, 992.7421875]"
0.06322283054611633,0.0,"[773.0859375, 974.8203125, 819.6875, 987.2265625, 988.3515625, 1000.0, 993.9453125, 1000.0, 908.5234375, 837.3359375]"
0.0025144150521764766,0.9090909090909091,"[255.6875, 229.03125, 245.7890625, 253.40625, 385.15625, 311.296875, 278.984375, 231.296875, 263.8203125, 303.765625]"
0.00039827887519494257,1.5151515151515151,"[273.296875, 283.96875, 385.7890625, 246.7265625, 247.6796875, 221.2109375, 525.5234375, 249.9921875, 211.0078125, 394.5390625]"
0.009274286383257363,4.94949494949495,"[1000.0, 994.5859375, 982.984375, 1000.0, 955.8203125, 987.484375, 982.6953125, 1000.0, 806.03125, 963.1015625]"
0.0005414548164181544,8.585858585858587,"[452.6640625, 434.7890625, 460.421875, 417.921875, 368.5546875, 391.875, 400.3359375, 385.4453125, 386.6171875, 422.359375]"
0.00027131173915845476,2.929292929292929,"[316.1015625, 669.7265625, 286.7734375, 497.2265625, 503.4765625, 310.5234375, 702.328125, 396.515625, 530.4609375, 506.2265625]"
0.00010798010298258111,5.05050505050505,"[503.2890625, 334.1171875, 708.9921875, 558.5859375, 557.2734375, 527.3515625, 346.5078125, 290.9921875, 701.5625, 413.7890625]"
0.010014383987540799,4.646464646464646,"[1000.0, 1000.0, 995.0, 1000.0, 954.671875, 1000.0, 919.8203125, 1000.0, 977.3125, 1000.0]"
0.0006817002185769346,5.858585858585858,"[381.1015625, 378.21875, 387.984375, 346.9453125, 380.0, 301.6953125, 463.2421875, 365.4609375, 374.609375, 408.0546875]"
0.0004300619395933647,7.777777777777778,"[417.8203125, 346.8046875, 434.171875, 340.2890625, 474.7734375, 482.5390625, 385.296875, 469.5078125, 444.84375, 372.4921875]"
0.14711435307922738,8.484848484848484,"[974.1796875, 967.15625, 969.0703125, 972.515625, 973.28125, 983.25, 980.5, 978.5, 969.328125, 956.1875]"
0.005850838068754207,0.0,"[1000.0, 976.390625, 230.3046875, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 942.9921875, 696.421875]"
0.0029317331822241717,3.6363636363636362,"[284.59375, 288.0078125, 331.3671875, 305.421875, 281.4140625, 318.2578125, 326.28125, 312.875, 319.4140625, 300.65625]"
0.12617333187632818,5.454545454545454,"[940.015625, 962.8671875, 984.59375, 973.2734375, 948.9296875, 978.4453125, 928.359375, 940.8359375, 973.21875, 973.8125]"
0.06322283054611633,2.727272727272727,"[994.671875, 1000.0, 995.2578125, 1000.0, 988.015625, 995.453125, 995.59375, 982.859375, 998.21875, 995.7890625]"
0.008588884551030166,7.373737373737374,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 901.4296875, 1000.0, 995.4921875, 1000.0]"
0.034207712781635105,7.2727272727272725,"[1000.0, 1000.0, 999.0, 995.21875, 989.859375, 1000.0, 998.484375, 996.234375, 996.078125, 997.3125]"
0.005850838068754207,2.727272727272727,"[332.21875, 306.4140625, 393.1328125, 322.78125, 286.5078125, 344.625, 311.7421875, 398.0859375, 276.625, 329.8125]"
0.05855044475769315,3.5353535353535355,"[1000.0, 985.1796875, 996.8046875, 981.328125, 970.8125, 995.4765625, 978.0234375, 995.3671875, 1000.0, 1000.0]"
0.014700866253334402,9.494949494949495,"[1000.0, 1000.0, 1000.0, 987.6953125, 994.796875, 1000.0, 986.0, 1000.0, 1000.0, 1000.0]"
0.05021607031056004,8.181818181818182,"[975.21875, 927.0546875, 967.4296875, 969.765625, 954.2734375, 958.109375, 996.390625, 966.5078125, 954.2421875, 985.9921875]"
0.00014679750917903885,5.151515151515151,"[356.5, 407.171875, 588.7578125, 381.046875, 351.4375, 471.78125, 546.1328125, 288.3828125, 555.6015625, 573.65625]"
0.0005846634683724685,2.4242424242424243,"[264.4296875, 279.390625, 290.3984375, 253.234375, 322.1875, 321.4296875, 244.2109375, 287.9921875, 270.109375, 310.390625]"
0.003985652141834605,4.545454545454545,"[420.59375, 405.2890625, 356.5703125, 407.53125, 387.9453125, 390.9375, 343.1328125, 396.3125, 310.2578125, 381.09375]"
0.00023269181687763618,1.1111111111111112,"[207.984375, 541.2578125, 623.234375, 278.5859375, 258.78125, 223.34375, 527.875, 821.625, 656.5546875, 227.6640625]"
0.00015851210158739011,2.121212121212121,"[558.4375, 508.703125, 369.0625, 381.234375, 420.7109375, 263.7109375, 618.875, 371.703125, 389.75, 313.3828125]"
0.0002154950870117,5.555555555555555,"[346.8359375, 335.3828125, 441.40625, 435.9140625, 325.8984375, 358.03125, 626.6796875, 343.203125, 580.1171875, 689.640625]"
0.006317740971984859,2.8282828282828283,"[361.1484375, 363.1015625, 325.34375, 319.390625, 374.0625, 353.6640625, 294.96875, 330.203125, 306.859375, 356.6484375]"
0.0018495327188680687,1.6161616161616161,"[325.0625, 309.390625, 269.609375, 268.171875, 257.7578125, 270.234375, 269.6328125, 268.359375, 226.921875, 320.71875]"
0.09280954047418331,2.2222222222222223,"[984.21875, 990.7265625, 991.5859375, 985.921875, 808.2265625, 969.265625, 972.9140625, 998.078125, 941.4921875, 991.140625]"
0.000464381325261801,5.757575757575758,"[337.4375, 390.53125, 354.6640625, 373.4765625, 385.3828125, 322.5234375, 288.078125, 410.0859375, 345.8359375, 336.7265625]"
0.05855044475769315,0.30303030303030304,"[609.671875, 554.609375, 568.2109375, 591.7109375, 742.921875, 809.265625, 498.9921875, 461.5390625, 590.2578125, 587.171875]"
0.0005414548164181544,0.10101010101010101,"[981.890625, 1000.0, 935.2734375, 1000.0, 1000.0, 1000.0, 993.6640625, 1000.0, 933.125, 529.578125]"
0.054223364435148066,0.40404040404040403,"[644.421875, 653.578125, 768.1953125, 630.7109375, 615.65625, 700.4375, 576.03125, 579.9921875, 561.0625, 591.96875]"
0.007366298109070191,7.979797979797979,"[1000.0, 1000.0, 1000.0, 996.140625, 991.359375, 994.0703125, 928.578125, 1000.0, 1000.0, 1000.0]"
0.00014679750917903885,8.88888888888889,"[410.09375, 635.296875, 390.515625, 433.3203125, 413.9375, 601.1953125, 531.171875, 450.5390625, 486.671875, 457.5859375]"
