gae_lambda,velocity_rew_weight,final_mean_return
0.9333333333333333,3.2323232323232323,"[476.0234375, 398.6875, 475.9453125, 425.1484375, 410.1875, 403.8125, 428.3203125, 467.3046875, 411.8203125, 488.71875]"
0.8545454545454546,3.3333333333333335,"[572.890625, 951.8984375, 502.328125, 467.328125, 377.0234375, 482.390625, 543.8125, 500.1484375, 998.3046875, 539.703125]"
0.9757575757575758,3.9393939393939394,"[358.921875, 360.2109375, 315.4609375, 316.859375, 307.3828125, 286.8828125, 331.5625, 275.046875, 297.765625, 363.671875]"
0.9414141414141415,6.4646464646464645,"[584.1953125, 545.3984375, 518.703125, 459.6953125, 553.6796875, 506.4765625, 460.421875, 441.65625, 397.3515625, 615.46875]"
0.898989898989899,9.595959595959595,"[999.9765625, 552.1796875, 1000.0, 750.171875, 992.1640625, 993.7890625, 974.5078125, 1000.0, 1000.0, 1000.0]"
0.9212121212121213,6.767676767676767,"[632.9453125, 495.5078125, 539.234375, 512.2265625, 604.953125, 593.1171875, 666.3359375, 434.796875, 656.796875, 1000.0]"
0.9797979797979798,1.5151515151515151,"[248.7421875, 278.2578125, 256.5703125, 247.578125, 256.0546875, 291.6953125, 272.59375, 257.7890625, 234.453125, 371.8984375]"
0.8121212121212121,7.474747474747475,"[940.5, 1000.0, 1000.0, 995.59375, 997.265625, 996.265625, 994.5703125, 1000.0, 996.2734375, 1000.0]"
0.8383838383838385,4.242424242424242,"[560.4296875, 997.9296875, 897.0625, 756.4609375, 960.9140625, 578.6484375, 612.6953125, 756.171875, 1000.0, 1000.0]"
0.8868686868686869,7.6767676767676765,"[962.2265625, 1000.0, 748.78125, 915.8125, 980.1171875, 608.890625, 770.625, 841.0546875, 991.7421875, 987.328125]"
0.9878787878787879,4.747474747474747,"[388.421875, 304.5859375, 361.640625, 322.0078125, 331.8359375, 320.390625, 642.875, 340.65625, 315.46875, 322.65625]"
0.9656565656565657,7.575757575757575,"[507.125, 491.6640625, 418.875, 494.71875, 524.4140625, 522.484375, 545.7734375, 414.0078125, 386.671875, 447.15625]"
0.9454545454545454,2.4242424242424243,"[417.828125, 318.0234375, 344.359375, 356.734375, 370.546875, 379.1328125, 341.8046875, 366.3984375, 320.4453125, 373.0703125]"
