learning_rate,distance_rew_weight,final_mean_return
1.072267222010323e-05,8.282828282828282,"[993.6875, 1000.0, 900.8046875, 1000.0, 1000.0, 995.125, 993.7421875, 1000.0, 993.6796875, 852.7890625]"
4.328761281083062e-05,2.323232323232323,"[459.0546875, 399.2890625, 389.6640625, 394.9921875, 413.796875, 364.5234375, 411.8046875, 603.8515625, 448.2578125, 340.9609375]"
0.0002009233002565046,4.848484848484849,"[256.8984375, 270.375, 290.4765625, 262.7734375, 219.1796875, 267.09375, 219.1953125, 259.484375, 242.9765625, 246.4296875]"
1.873817422860383e-05,0.0,"[1000.0, 1000.0, 1000.0, 1000.0, 993.984375, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
0.0001232846739442066,2.929292929292929,"[289.46875, 330.328125, 291.4453125, 310.46875, 267.15625, 258.40625, 259.8203125, 346.8515625, 275.796875, 291.796875]"
0.0009326033468832199,5.454545454545454,"[207.2421875, 212.9296875, 210.25, 225.921875, 202.3515625, 216.09375, 225.7265625, 189.2578125, 195.4375, 197.984375]"
0.0001519911082952933,0.20202020202020202,"[416.484375, 291.9921875, 357.015625, 375.875, 398.328125, 386.8984375, 329.984375, 299.484375, 306.171875, 396.0390625]"
2.310129700083158e-05,3.3333333333333335,"[563.1015625, 502.5390625, 402.2265625, 404.28125, 545.46875, 350.390625, 328.2734375, 370.6875, 430.3203125, 575.671875]"
4.977023564332114e-05,0.8080808080808081,"[610.1015625, 528.3828125, 616.1640625, 565.2890625, 410.2109375, 495.5234375, 423.84375, 642.359375, 562.90625, 553.8671875]"
0.0037649358067924675,7.979797979797979,"[243.0, 220.6484375, 271.765625, 231.234375, 198.7421875, 248.8203125, 205.96875, 227.171875, 840.0859375, 223.546875]"
9.999999999999999e-05,1.4141414141414141,"[309.8828125, 352.2890625, 334.453125, 366.0859375, 294.7578125, 376.515625, 370.4921875, 328.4375, 304.21875, 314.515625]"
0.007564633275546291,5.252525252525253,"[217.53125, 249.734375, 282.296875, 337.2265625, 277.0234375, 375.734375, 999.0078125, 990.2265625, 286.6640625, 851.484375]"
0.001519911082952933,8.282828282828282,"[201.5703125, 190.5234375, 239.6015625, 190.4296875, 214.640625, 206.578125, 229.7734375, 242.1953125, 195.09375, 218.71875]"
0.0011497569953977356,9.8989898989899,"[189.53125, 217.3828125, 223.78125, 760.015625, 227.7890625, 273.5625, 215.6328125, 203.4921875, 204.296875, 208.6328125]"
0.00028480358684358016,0.6060606060606061,"[282.46875, 260.6875, 232.8359375, 243.609375, 335.71875, 259.4453125, 236.6484375, 246.125, 245.109375, 250.921875]"
7.56463327554629e-05,6.4646464646464645,"[558.328125, 278.984375, 366.515625, 432.2109375, 779.6015625, 824.3125, 393.46875, 446.5546875, 434.7109375, 469.953125]"
1.873817422860383e-05,2.727272727272727,"[507.3984375, 525.7890625, 335.8515625, 478.734375, 585.34375, 362.578125, 280.2734375, 556.828125, 513.9375, 465.375]"
0.00023101297000831602,7.979797979797979,"[394.59375, 324.453125, 572.9765625, 407.0625, 284.3125, 432.3359375, 707.9453125, 226.6484375, 339.59375, 267.3828125]"
1.4174741629268048e-05,8.282828282828282,"[1000.0, 1000.0, 869.234375, 1000.0, 1000.0, 1000.0, 988.0078125, 1000.0, 993.6640625, 953.34375]"
0.006135907273413175,5.353535353535354,"[234.8671875, 294.5, 210.625, 227.6015625, 896.9609375, 203.7890625, 269.1484375, 712.453125, 198.765625, 229.8984375]"
