gamma,distance_rew_weight,final_mean_return
0.0001848203969370861,8.080808080808081,"[474.25, 399.4765625, 283.125, 942.703125, 295.1484375, 993.5703125, 666.625, 662.3984375, 831.609375, 443.2890625]"
0.000794842183831788,0.20202020202020202,"[256.7578125, 256.0234375, 250.046875, 234.671875, 244.671875, 264.6328125, 197.8984375, 281.53125, 237.1953125, 229.078125]"
0.013614421404752578,0.5050505050505051,"[864.7265625, 589.8984375, 740.7109375, 921.0078125, 649.3671875, 691.890625, 408.5390625, 585.875, 675.9609375, 600.2734375]"
0.0023285910855096064,5.858585858585858,"[206.2578125, 203.859375, 223.46875, 198.71875, 216.7109375, 221.8515625, 207.7421875, 257.7109375, 217.453125, 238.4921875]"
0.008588884551030166,8.787878787878787,"[181.078125, 188.21875, 193.0234375, 188.7578125, 215.3203125, 209.0703125, 182.125, 201.453125, 183.6171875, 194.40625]"
0.010014383987540799,9.696969696969697,"[202.3203125, 185.9375, 213.3046875, 209.1875, 212.8515625, 218.0703125, 194.234375, 457.0625, 460.40625, 178.8125]"
0.0029317331822241717,7.6767676767676765,"[209.4296875, 209.8203125, 228.4921875, 204.9375, 209.921875, 326.046875, 206.640625, 222.328125, 213.265625, 648.828125]"
0.0001848203969370861,9.797979797979798,"[287.3671875, 271.9609375, 517.2890625, 325.4609375, 479.9140625, 709.765625, 699.203125, 438.4296875, 643.359375, 437.9296875]"
0.043068054015145296,3.7373737373737375,"[306.6875, 282.765625, 255.3203125, 272.171875, 325.671875, 374.328125, 303.8125, 294.9609375, 313.046875, 278.2734375]"
0.0008582714086505614,0.7070707070707071,"[247.296875, 242.265625, 245.9140625, 224.6484375, 224.4140625, 276.0234375, 227.015625, 258.328125, 290.796875, 243.3046875]"
0.003418313712493245,3.3333333333333335,"[200.296875, 216.609375, 224.21875, 208.46875, 222.75, 230.4296875, 200.15625, 210.5, 197.3828125, 205.71875]"
0.004303711287280452,0.20202020202020202,"[329.8046875, 279.125, 281.2421875, 308.3203125, 270.8671875, 292.6171875, 287.9375, 272.515625, 292.0390625, 294.2421875]"
0.2,4.040404040404041,"[983.875, 851.1640625, 734.5, 794.0, 612.671875, 898.7109375, 531.078125, 919.234375, 915.8828125, 685.65625]"
0.005850838068754207,6.767676767676767,"[202.671875, 231.0625, 217.484375, 188.578125, 195.3828125, 197.0703125, 202.265625, 193.8984375, 194.9296875, 201.4140625]"
0.18521930844265186,2.4242424242424243,"[996.015625, 987.78125, 997.8125, 827.90625, 692.1328125, 859.6875, 861.2109375, 996.8515625, 946.3671875, 988.296875]"
0.07371594042349698,1.3131313131313131,"[995.0703125, 973.828125, 955.0390625, 927.25, 857.40625, 867.9453125, 609.078125, 882.296875, 719.828125, 817.265625]"
9.999999999999999e-05,1.4141414141414141,"[542.6640625, 310.296875, 382.7109375, 243.0390625, 241.4609375, 274.234375, 666.1484375, 416.3984375, 351.203125, 277.15625]"
0.2,0.5050505050505051,"[984.15625, 992.9609375, 992.5703125, 996.4453125, 864.875, 989.6640625, 992.15625, 974.3359375, 983.0703125, 979.53125]"
0.000464381325261801,7.070707070707071,"[273.6796875, 322.5078125, 239.046875, 411.6484375, 232.34375, 256.0, 752.375, 209.9453125, 672.65625, 561.8984375]"
0.05855044475769315,8.585858585858587,"[383.703125, 719.265625, 797.0859375, 771.2109375, 880.796875, 930.65625, 495.6484375, 866.296875, 820.8203125, 684.0703125]"
0.0005846634683724685,6.4646464646464645,"[263.84375, 221.1875, 257.953125, 272.1015625, 249.21875, 223.859375, 231.4296875, 195.734375, 229.0859375, 521.7890625]"
0.00034158579123982024,8.686868686868687,"[616.0390625, 309.0390625, 246.015625, 948.171875, 438.7734375, 536.6484375, 598.9375, 525.796875, 593.296875, 453.3515625]"
0.0011668085277693407,6.666666666666667,"[216.25, 234.5078125, 254.1171875, 213.5390625, 266.859375, 226.7578125, 221.0703125, 287.6328125, 219.8203125, 205.7578125]"
0.007366298109070191,9.292929292929292,"[232.2109375, 207.203125, 211.421875, 215.3671875, 221.4296875, 288.6953125, 191.6015625, 193.296875, 189.1640625, 206.8203125]"
0.0199856315113147,7.474747474747475,"[187.484375, 194.015625, 211.25, 171.21875, 205.328125, 447.2578125, 178.53125, 180.984375, 184.3125, 184.7421875]"
0.017140772906618387,8.686868686868687,"[190.71875, 209.2578125, 223.2578125, 200.359375, 218.75, 295.7109375, 222.6875, 193.8984375, 177.546875, 173.453125]"
0.07959854838387018,0.6060606060606061,"[1000.0, 1000.0, 992.984375, 999.2265625, 980.2890625, 958.6953125, 972.7890625, 1000.0, 994.1875, 995.171875]"
0.00023269181687763618,5.151515151515151,"[574.015625, 284.546875, 600.515625, 512.578125, 293.234375, 258.703125, 964.015625, 389.0703125, 612.40625, 615.5]"
