gae_lambda,distance_rew_weight,final_mean_return
0.9939393939393939,8.787878787878787,"[291.390625, 308.2421875, 382.046875, 792.9765625, 275.328125, 375.3203125, 740.8515625, 448.78125, 982.28125, 291.4140625]"
0.8949494949494949,3.7373737373737375,"[295.2109375, 237.4296875, 284.6796875, 222.7578125, 215.7421875, 253.734375, 270.0078125, 234.765625, 255.5078125, 228.78125]"
0.8363636363636364,8.98989898989899,"[230.34375, 218.0859375, 233.859375, 251.265625, 248.6015625, 211.8046875, 266.5703125, 248.328125, 226.7890625, 222.328125]"
0.9353535353535354,1.4141414141414141,"[422.6796875, 300.7109375, 333.6171875, 282.84375, 345.03125, 300.234375, 304.1953125, 300.0546875, 277.375, 333.890625]"
0.9030303030303031,6.96969696969697,"[218.9609375, 224.9609375, 222.0390625, 244.328125, 223.1328125, 259.296875, 208.0546875, 245.9921875, 225.265625, 228.9921875]"
0.9818181818181818,6.8686868686868685,"[303.9765625, 267.375, 277.890625, 214.375, 255.2265625, 562.6328125, 246.359375, 229.1171875, 200.96875, 255.65625]"
0.8282828282828283,5.555555555555555,"[227.4453125, 240.734375, 239.1171875, 492.1328125, 301.125, 252.3359375, 283.2421875, 237.875, 238.1484375, 215.0078125]"
0.9878787878787879,2.0202020202020203,"[286.984375, 242.421875, 241.9921875, 730.25, 257.484375, 252.5078125, 264.5625, 259.640625, 251.296875, 235.828125]"
0.9252525252525252,0.0,"[495.4140625, 367.09375, 378.875, 389.0234375, 408.9765625, 1000.0, 412.3359375, 480.484375, 355.5390625, 1000.0]"
0.8747474747474748,8.484848484848484,"[229.7578125, 323.265625, 246.21875, 225.4765625, 222.6328125, 266.21875, 217.2421875, 223.59375, 447.3203125, 210.0234375]"
0.9333333333333333,3.2323232323232323,"[248.96875, 243.2421875, 272.71875, 232.8671875, 236.921875, 238.4765625, 231.5390625, 235.1484375, 242.578125, 207.7109375]"
0.8545454545454546,3.3333333333333335,"[258.8828125, 299.6875, 330.9765625, 217.2890625, 235.6875, 250.5390625, 294.7265625, 235.4765625, 257.1328125, 233.8203125]"
0.9474747474747475,0.8080808080808081,"[370.75, 289.46875, 287.5390625, 329.6953125, 372.6640625, 340.734375, 287.859375, 277.2265625, 266.3125, 446.5234375]"
0.9757575757575758,3.9393939393939394,"[236.1875, 234.75, 247.734375, 226.75, 225.5078125, 221.46875, 220.5078125, 231.984375, 224.890625, 213.3515625]"
0.9414141414141415,6.4646464646464645,"[231.6640625, 195.3828125, 250.046875, 233.9453125, 250.265625, 231.859375, 236.3359375, 254.6640625, 231.9921875, 214.546875]"
0.898989898989899,9.595959595959595,"[250.40625, 290.7890625, 258.5234375, 236.3359375, 246.390625, 267.8359375, 244.8203125, 253.0859375, 227.71875, 236.734375]"
0.9212121212121213,6.767676767676767,"[220.6796875, 279.4453125, 265.234375, 194.15625, 232.765625, 245.625, 213.8046875, 230.9296875, 216.1640625, 214.0625]"
0.9797979797979798,1.5151515151515151,"[246.28125, 238.7421875, 247.78125, 305.1796875, 260.1796875, 247.8359375, 242.28125, 253.234375, 254.046875, 261.765625]"
0.8121212121212121,7.474747474747475,"[218.6015625, 375.546875, 276.375, 260.8125, 212.4453125, 242.7578125, 384.03125, 206.046875, 677.3046875, 230.75]"
0.8383838383838385,4.242424242424242,"[251.625, 223.4375, 303.84375, 214.1015625, 245.2265625, 241.125, 309.703125, 231.65625, 264.8046875, 193.328125]"
0.9656565656565657,7.575757575757575,"[228.21875, 260.8046875, 282.6484375, 224.8359375, 219.859375, 221.4765625, 226.4921875, 263.328125, 372.2109375, 217.3203125]"
0.9454545454545454,2.4242424242424243,"[249.0546875, 245.90625, 253.9765625, 261.015625, 247.703125, 258.515625, 258.3515625, 253.5703125, 220.203125, 259.390625]"
0.9878787878787879,4.747474747474747,"[246.8125, 247.0703125, 258.5078125, 252.8828125, 251.515625, 212.953125, 196.953125, 206.6953125, 214.59375, 225.4921875]"
0.8868686868686869,7.6767676767676765,"[237.6484375, 237.625, 231.8671875, 232.4765625, 249.9765625, 241.4921875, 236.6171875, 225.4140625, 285.875, 210.3671875]"
0.8666666666666667,7.979797979797979,"[278.28125, 371.5859375, 358.390625, 220.46875, 241.578125, 232.9921875, 210.03125, 234.1796875, 239.9765625, 232.8046875]"
0.8464646464646465,2.8282828282828283,"[287.03125, 313.1328125, 414.6640625, 236.28125, 269.7265625, 250.6640625, 443.0234375, 288.03125, 305.859375, 239.6640625]"
0.9252525252525252,2.727272727272727,"[274.625, 230.4921875, 304.9296875, 229.8984375, 323.140625, 229.7734375, 226.3984375, 259.2265625, 273.2265625, 251.5078125]"
