gae_lambda,angle_rew_weight,final_mean_return
0.8545454545454546,3.3333333333333335,"[968.9453125, 475.59375, 461.234375, 972.046875, 841.609375, 795.046875, 377.0, 548.8828125, 802.03125, 988.5]"
0.9333333333333333,3.2323232323232323,"[517.8984375, 280.5078125, 327.1953125, 562.3203125, 506.9609375, 917.078125, 313.5546875, 285.3046875, 263.6953125, 600.5703125]"
0.9474747474747475,0.8080808080808081,"[269.296875, 288.125, 258.296875, 293.34375, 314.4453125, 327.4296875, 245.5546875, 299.5546875, 299.0390625, 418.75]"
0.9757575757575758,3.9393939393939394,"[329.1015625, 238.203125, 350.0390625, 659.1484375, 715.265625, 608.6875, 292.5078125, 881.3828125, 256.671875, 416.9453125]"
0.9414141414141415,6.4646464646464645,"[841.6953125, 879.0859375, 938.2265625, 865.203125, 856.4140625, 870.6953125, 667.296875, 690.5703125, 776.9609375, 725.96875]"
0.898989898989899,9.595959595959595,"[912.8359375, 972.65625, 959.90625, 948.609375, 860.234375, 909.3515625, 874.0, 845.546875, 929.3046875, 1000.0]"
0.9212121212121213,6.767676767676767,"[427.9609375, 917.8828125, 744.171875, 949.0625, 857.890625, 868.5390625, 608.1328125, 733.34375, 418.15625, 914.90625]"
0.9797979797979798,1.5151515151515151,"[294.796875, 272.0859375, 263.140625, 277.703125, 251.2109375, 291.9609375, 236.3828125, 266.2265625, 235.6796875, 273.8515625]"
0.8121212121212121,7.474747474747475,"[988.71875, 999.6640625, 995.8984375, 838.078125, 821.8125, 787.0625, 794.0859375, 982.53125, 978.375, 962.15625]"
0.8383838383838385,4.242424242424242,"[647.03125, 752.3828125, 908.734375, 956.1484375, 809.375, 947.4140625, 395.875, 719.84375, 949.171875, 954.984375]"
0.8868686868686869,7.6767676767676765,"[995.2890625, 995.96875, 923.5859375, 943.09375, 874.609375, 923.609375, 755.3203125, 821.171875, 761.9453125, 886.9453125]"
0.9656565656565657,7.575757575757575,"[950.4921875, 889.640625, 825.1875, 905.0859375, 910.6484375, 930.953125, 925.84375, 987.453125, 490.6796875, 964.2421875]"
0.9454545454545454,2.4242424242424243,"[328.375, 242.1328125, 289.28125, 282.375, 612.5625, 824.8203125, 289.78125, 273.4140625, 337.375, 460.2734375]"
0.9878787878787879,4.747474747474747,"[275.2578125, 252.8046875, 467.453125, 397.53125, 734.3984375, 630.6171875, 945.4453125, 639.9921875, 386.9765625, 275.09375]"
0.8666666666666667,7.979797979797979,"[991.6484375, 915.3203125, 887.875, 845.5, 803.359375, 956.6640625, 844.53125, 627.2890625, 967.7265625, 978.171875]"
0.9252525252525252,2.727272727272727,"[356.609375, 327.6328125, 538.046875, 404.5078125, 581.2734375, 955.6796875, 287.5625, 361.3359375, 312.6953125, 560.7890625]"
0.8464646464646465,2.8282828282828283,"[536.6640625, 717.6328125, 695.6796875, 733.640625, 780.2578125, 851.0859375, 404.6796875, 586.5703125, 660.578125, 953.875]"
0.9333333333333333,5.959595959595959,"[428.8515625, 898.984375, 391.7578125, 910.4765625, 859.4296875, 822.8984375, 482.0, 877.1953125, 391.6796875, 875.0625]"
